config_id,agent_file,ok,returncode,timeout,elapsed_sec,avg_reward,min_reward,avg_success,min_success,avg_steps,max_steps,horizon,progress_weight,waypoint_weight,north_speed_weight,goal_weight,collision_penalty,border_penalty,center_penalty,wp_radius,side_margin,stay_penalty,south_penalty
6,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_006.py,True,0,False,91.1558346748352,74.54,70.83,1.0,1.0,59.93333333333334,69.8,2,4.0,1.6,7.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
10,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_010.py,True,0,False,92.17666935920715,74.50666666666666,70.8,1.0,1.0,60.03333333333334,69.9,2,4.0,2.0,7.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
2,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_002.py,True,0,False,101.96985149383545,73.91333333333334,70.78,1.0,1.0,61.666666666666664,70.0,2,4.0,1.3,7.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
4,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_004.py,True,0,False,151.2743592262268,69.83333333333333,56.82,0.9333333333333332,0.8,88.56666666666666,155.4,2,4.0,1.6,5.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
8,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_008.py,True,0,False,141.4526824951172,69.83333333333333,56.82,0.9333333333333332,0.8,88.56666666666666,155.4,2,4.0,2.0,5.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
0,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_000.py,True,0,False,131.95983695983887,69.24333333333333,56.82,0.9333333333333332,0.8,90.2,155.4,2,4.0,1.3,5.0,0.35,500000.0,2000.0,60.0,14.0,0.05,200.0,300.0
1,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_001.py,True,0,False,844.4239571094513,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,1.3,5.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
3,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_003.py,True,0,False,886.8397452831268,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,1.3,7.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
5,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_005.py,True,0,False,850.8399550914764,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,1.6,5.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
7,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_007.py,True,0,False,860.7377932071686,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,1.6,7.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
9,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_009.py,True,0,False,806.3419189453125,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,2.0,5.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
11,/home/onyxia/work/stable_v2_RL_sailing_challenge/src/agents/agent_tune_011.py,True,0,False,889.5678708553314,0.0,0.0,0.0,0.0,500.0,500.0,2,4.0,2.0,7.0,0.35,500000.0,2000.0,120.0,14.0,0.05,200.0,300.0
